position,dates,ids,genres,titles,authors,lavin_genres,big_genres,labels
3,1764,4,teamred | pbgothic | stew | lavin_ghost,The+castle+of+Otranto%3B,Walpole%2C+Horace%2C,lavin_ghost,gothic,15
6,1777,7,teamblack | pbgothic | lavin_ghost,The+old+English+baron,Reeve%2C+Clara%2C,lavin_ghost,gothic,12
10,1785,11,teamblack | pbgothic | stew | lavin_deranged,The+recess%3B,Lee%2C+Sophia%2C,lavin_deranged,gothic,4
12,1786,13,teamblack | pbgothic | stew | lavin_magic,Vathek,Beckford%2C+William%2C,lavin_magic,gothic,5
14,1788,15,teamblack | pbgothic | stew | lavin_deranged,Emmeline,Smith%2C+Charlotte%2C,lavin_deranged,gothic,3
15,1788,16,teamred | pbgothic | stew | lavin_deranged,Emmeline,Smith%2C+Charlotte%2C,lavin_deranged,gothic,3
17,1790,18,teamred | pbgothic | stew | lavin_deranged,A+Sicilian+romance,Radcliffe%2C+Ann+Ward%2C,lavin_deranged,gothic,0
19,1790,20,teamred | pbgothic | stew | lavin_deranged,A+Sicilian+romance,Radcliffe%2C+Ann+Ward%2C,lavin_deranged,gothic,0
21,1791,22,teamblack | stangothic,The+school+for+widows,Reeve%2C+Clara%2C,no_lavin_tag,gothic,3
22,1791,23,teamblack | pbgothic | stew | lavin_deranged,The+romance+of+the+forest,Radcliffe%2C+Ann+Ward%2C,lavin_deranged,gothic,0
23,1794,24,teamred | pbgothic | stew | lavin_deranged,The+adventures+of+Caleb+W,Godwin%2C+William%2C,lavin_deranged,gothic,7
26,1794,27,teamblack | pbgothic | stew,The+mysteries+of+Udolpho,Radcliffe%2C+Ann+Ward%2C,no_lavin_tag,gothic,5
27,1794,28,teamred | pbgothic,The+mysteries+of+Udolpho,Radcliffe%2C+Ann+Ward%2C,no_lavin_tag,gothic,0
30,1796,31,teamblack | pbgothic | lavin_magic,The+monk,Lewis%2C+M.+G.,lavin_magic,gothic,0
31,1796,32,teamblack | pbgothic | lavin_ghost,The+children+of+the+abbey,Roche%2C+Regina+Maria%2C,lavin_ghost,gothic,10
33,1796,34,teamblack | pbgothic | stew | lavin_magic,The+monk,Lewis%2C+M.+G.,lavin_magic,gothic,4
34,1798,35,teamred | pbgothic,Wieland%3B+or%2C+The+transfor,Brown%2C+Charles+Brockden%2C,no_lavin_tag,gothic,4
35,1799,36,teamred | pbgothic | lavin_magic | lavin_deranged,St.+Leon%3A+a+tale+of+the+s,Godwin%2C+William%2C,lavin_multi,gothic,6
43,1801,44,teamblack | stangothic,Grasville+Abbey,Moore%2C+George%2C,no_lavin_tag,gothic,0
44,1802,45,teamblack | stangothic,The+white+knight%2C+or%2C+The+monastery+of+Morne,Melville%2C+Theodore.,no_lavin_tag,gothic,5
47,1803,48,teamred | stangothic,Don+Raphael,Walker%2C+George%2C,no_lavin_tag,gothic,5
48,1803,49,teamblack | stangothic,Romance+of+the+Pyrenees,Cuthbertson%2C+Catherine.,no_lavin_tag,gothic,1
50,1803,51,teamblack | stangothic,Romance+of+the+Pyrenees,Cuthbertson%2C+Catherine.,no_lavin_tag,gothic,1
52,1803,53,teamblack | stangothic | stew,Romance+of+the+Pyrenees,Cuthbertson%2C+Catherine.,no_lavin_tag,gothic,1
53,1803,54,teamblack | stangothic,Romance+of+the+Pyrenees,Cuthbertson%2C+Catherine.,no_lavin_tag,gothic,1
54,1803,55,teamred | stangothic | stew,Right+and+wrong%3B+or%2C+The+kinsmen+of+Naples,Young%2C+Mary+Julia.,no_lavin_tag,gothic,15
56,1806,57,teamblack | stangothic | stew,Vivonio%2C+or%2C+The+hour+of+retribution,Frances%2C+Sophia+L.,no_lavin_tag,gothic,0
58,1807,59,teamred | stangothic,The+discarded+son%3B+or%2C+Haunt+of+the+banditti,Roche%2C+Regina+Maria%2C,no_lavin_tag,gothic,3
59,1807,60,teamblack | pbgothic,The+libertine%3B,Dacre%2C+Charlotte%2C,no_lavin_tag,gothic,4
60,1807,61,teamred | stangothic,The+friar+Hildargo,Mortimer%2C+Edward%2C,no_lavin_tag,gothic,0
64,1809,65,teamred | stangothic,Angelo+Guicciardini%2C+or%2C+The+bandit+of+the+Alps,Frances%2C+Sophia+L.,no_lavin_tag,gothic,0
66,1810,67,teamblack | stangothic,Forest+of+Montalbano,Cuthbertson%2C+Catherine.,no_lavin_tag,gothic,1
67,1812,68,teamred | stangothic | stew,The+confessional+of+Valombre,Stanhope%2C+Louisa+Sidney.,no_lavin_tag,gothic,5
70,1813,71,teamred | stangothic,The+monastery+of+St.+Columb%3B,Roche%2C+Regina+Maria%2C,no_lavin_tag,gothic,10
71,1816,72,teamblack | pbgothic | lavin_deranged,Bertram%2C+or%2C+The+castle+o,Maturin%2C+Charles+Robert%2C,lavin_deranged,gothic,2
74,1818,75,teamblack | pbgothic,Northanger+abbey,Austen%2C+Jane%2C,no_lavin_tag,gothic,3
75,1818,76,teamblack | lochorror | stew,Northanger+Abbey,Austen%2C+Jane%2C,no_lavin_tag,gothic,3
79,1818,80,teamred | lochorror | stew,Northanger+Abbey,Austen%2C+Jane%2C,no_lavin_tag,gothic,3
80,1818,81,teamblack | stangothic,The+fast+of+St.+Magdalen,Porter%2C+Anna+Maria%2C,no_lavin_tag,gothic,5
81,1818,82,teamred | lochorror,Northanger+Abbey,Austen%2C+Jane%2C,no_lavin_tag,gothic,3
82,1818,83,teamblack | lochorror,Northanger+Abbey,Austen%2C+Jane%2C,no_lavin_tag,gothic,3
83,1820,84,teamblack | pbgothic | lavin_magic | lavin_deranged,Melmoth+the+wanderer,Maturin%2C+Charles+Robert%2C,lavin_multi,gothic,4
86,1820,87,teamblack | pbgothic | lavin_ghost | lavin_magic,The+sketch-book+of+Geoffr,Irving%2C+Washington%2C,lavin_multi,gothic,5
87,1820,88,teamblack | pbgothic | stew | lavin_magic | lavin_deranged,Melmoth+the+wanderer,Maturin%2C+Charles+Robert%2C,lavin_multi,gothic,4
88,1821,89,teamred | pbgothic | stew | lavin_magic | lavin_deranged,Melmoth+the+wanderer,Maturin%2C+Charles+Robert%2C,lavin_multi,gothic,4
92,1823,93,teamblack | stangothic,Other+times%3B+or%2C+the+monks+of+Leadenhall,Gaspey%2C+Thomas%2C,no_lavin_tag,gothic,4
93,1823,94,teamred | stangothic,Owen+Castle%2C+or%2C+Which+is+the+heroine%3F,Sullivan%2C+Mary+Ann.,no_lavin_tag,gothic,3
97,1826,98,teamred | locghost | stew | lavin_ghost,Legends+of+terror%21,Anonymous2,lavin_ghost,gothic,5
99,1826,100,teamblack | pbgothic,Gaston+de+Blondeville,Radcliffe%2C+Ann+Ward%2C,no_lavin_tag,gothic,10
100,1826,101,teamred | pbgothic | stew,Gaston+de+Blondeville,Radcliffe%2C+Ann+Ward%2C,no_lavin_tag,gothic,12
102,1827,103,teamblack | pbgothic | stew,Falkland,Lytton%2C+Edward+Bulwer+Lyt,no_lavin_tag,gothic,6
115,1832,116,teamblack | pbgothic | lavin_magic,Tales+of+the+Alhambra,Irving%2C+Washington%2C,lavin_magic,gothic,5
120,1833,121,teamblack | pbgothic,Godolphin,Lytton%2C+Edward+Bulwer+Lyt,no_lavin_tag,gothic,6
127,1837,128,teamblack | pbgothic | lavin_ghost,Twice-told+tales,Hawthorne%2C+Nathaniel%2C,lavin_ghost,gothic,5
129,1838,130,teamred | pbgothic | stew,Oliver+Twist,Dickens%2C+Charles%2C,no_lavin_tag,gothic,7
134,1840,135,teamred | pbgothic | stew,The+Tower+of+London,Ainsworth%2C+William+Harris,no_lavin_tag,gothic,5
136,1841,137,teamblack | pbgothic | stew,The+old+curiosity+shop,Dickens%2C+Charles%2C,no_lavin_tag,gothic,7
140,1843,141,teamred | pbgothic | lavin_ghost | lavin_magic | lavin_deranged,Tales+by+Edgar+Allan+Poe,Poe%2C+Edgar+Allan%2C,lavin_multi,gothic,5
143,1844,144,teamred | pbgothic | stew,The+mysteries+of+London,Reynolds%2C+George+W.+M.,no_lavin_tag,gothic,7
148,1846,149,teamred | pbgothic | stew,The+mysteries+of+London,Reynolds%2C+George+W.+M.,no_lavin_tag,gothic,7
149,1846,150,teamred | pbgothic | lavin_ghost | lavin_magic | lavin_deranged,Mosses+from+an+old+manse,Hawthorne%2C+Nathaniel%2C,lavin_multi,gothic,6
150,1847,151,teamred | pbgothic | lavin_deranged,Jane+Eyre,Bront%2C+Charlotte%2C,lavin_deranged,gothic,3
151,1847,152,teamred | pbgothic | stew | lavin_deranged,Wuthering+Heights,Bront%2C+Emily%2C,lavin_deranged,gothic,7
155,1847,156,teamred | pbgothic | stew | lavin_deranged,Jane+Eyre,Bront%2C+Charlotte%2C,lavin_deranged,gothic,7
156,1848,157,teamred | locghost | stew | lavin_ghost,Tales+of+terror%3B+or%2C+The+,St.+Clair%2C+Henry.,lavin_ghost,gothic,5
159,1849,160,teamblack | pbgothic | lavin_magic,The+Lancashire+witches,Ainsworth%2C+William+Harris,lavin_magic,gothic,5
160,1850,161,teamblack | pbgothic,The+mysteries+of+the+cour,Reynolds%2C+George+W.+M.,no_lavin_tag,gothic,10
161,1850,162,teamred | pbgothic | stew,The+scarlet+letter,Hawthorne%2C+Nathaniel%2C,no_lavin_tag,gothic,6
165,1851,166,teamblack | pbgothic,The+house+of+the+seven+ga,Hawthorne%2C+Nathaniel%2C,no_lavin_tag,gothic,12
167,1853,168,teamblack | pbgothic,Villette,Bront%2C+Charlotte%2C,no_lavin_tag,gothic,13
171,1858,172,teamblack | pbgothic,Phantastes,MacDonald%2C+George%2C,no_lavin_tag,gothic,5
173,1858,174,teamblack | pbgothic | stew | lavin_magic,Phantastes,MacDonald%2C+George%2C,lavin_magic,gothic,0
192,1865,193,teamblack | pbgothic,Our+mutual+friend,Dickens%2C+Charles%2C,no_lavin_tag,gothic,7
218,1872,219,teamblack | pbgothic | stew | lavin_ghost | lavin_magic | lavin_deranged,In+a+glass+darkly,Le+Fanu%2C+Joseph+Sheridan%2C,lavin_multi,gothic,12
239,1878,240,teamred | pbgothic | stew | lavin_ghost,The+haunted+hotel,Collins%2C+Wilkie%2C,lavin_ghost,gothic,3
255,1882,256,teamred | pbgothic | stew,A+little+pilgrim+in+the+u,Oliphant%2C,no_lavin_tag,gothic,15
259,1885,260,teamred | pbgothic | lavin_magic,King+Solomon%27s+mines,Haggard%2C+H.+Rider,lavin_magic,gothic,14
269,1887,270,teamblack | locghost | lavin_ghost,Dreamland+and+ghostland,Anonymous3,lavin_ghost,gothic,12
275,1888,276,teamred | locghost | lavin_ghost,Weird+tid-bits,AnonymousGhost,lavin_ghost,gothic,12
276,1888,277,teamred | pbgothic | lavin_ghost,The+phantom+rickshaw,Kipling%2C+Rudyard%2C,lavin_ghost,gothic,14
279,1888,280,teamblack | locghost | stew | lavin_ghost,Weird+tid-bits,AnonymousGhost,lavin_ghost,gothic,5
280,1888,281,teamred | locghost | stew | lavin_ghost,Weird+tid-bits,AnonymousGhost,lavin_ghost,gothic,0
283,1888,284,teamblack | pbgothic | stew,Plain+tales+from+the+hill,Kipling%2C+Rudyard%2C,no_lavin_tag,gothic,10
289,1888,290,teamblack | locghost | stew | lavin_ghost,Weird+tid-bits,AnonymousGhost,lavin_ghost,gothic,5
290,1888,291,teamblack | locghost | lavin_ghost,Weird+tid-bits,AnonymousGhost,lavin_ghost,gothic,5
293,1890,294,teamred | pbgothic | stew | lavin_ghost,Hauntings,Lee%2C+Vernon%2C,lavin_ghost,gothic,10
294,1890,295,teamblack | locghost | lavin_ghost,Modern+ghosts%3B,AnonymousGhost2,lavin_ghost,gothic,14
296,1890,297,teamblack | locghost | stew | lavin_ghost,Modern+ghosts,AnonymousGhost2,lavin_ghost,gothic,14
298,1891,299,teamblack | pbgothic | lavin_magic | lavin_deranged,The+picture+of+Dorian+Gra,Wilde%2C+Oscar%2C,lavin_multi,gothic,15
300,1891,301,teamblack | pbgothic | stew,Tales+of+soldiers+and+civ,Bierce%2C+Ambrose%2C,no_lavin_tag,gothic,8
307,1892,308,teamblack | pbgothic | stew,In+the+midst+of+life%3B,Bierce%2C+Ambrose%2C,no_lavin_tag,gothic,8
311,1893,312,teamblack | pbgothic | lavin_ghost,Can+such+things+be%3F,Bierce%2C+Ambrose%2C,lavin_ghost,gothic,8
319,1895,320,teamred | pbgothic | lavin_magic,The+sorrows+of+Satan%3B,Corelli%2C+Marie%2C,lavin_magic,gothic,6
326,1897,327,teamblack | pbgothic | stew | lavin_magic,Dracula,Stoker%2C+Bram%2C,lavin_magic,gothic,13
330,1898,331,teamred | locghost | stew | lavin_ghost,Ghosts+I+have+met+and+som,Bangs%2C+John+Kendrick%2C,lavin_ghost,gothic,12
331,1898,332,teamblack | locghost | lavin_ghost,Dealings+with+the+dead%3B,Le+Braz%2C+Anatole%2C,lavin_ghost,gothic,12
333,1898,334,teamred | pbgothic | lavin_ghost | lavin_magic,The+Turn+of+the+Screw,James%2C+Henry%2C,lavin_multi,gothic,10
352,1903,353,teamblack | pbgothic | lavin_ghost,The+hill+of+trouble+and+o,Benson%2C+Arthur+Christophe,lavin_ghost,gothic,12
359,1904,360,teamred | locghost | stew | lavin_ghost,A+book+of+ghosts,Baring-Gould%2C+S.,lavin_ghost,gothic,12
363,1905,364,teamred | locghost | lavin_ghost,A+Christmas+carol+in+pros,Dickens%2C+Charles%2C,lavin_ghost,gothic,13
365,1905,366,teamblack | pbgothic | stew,The+gods+of+Pegna,Dunsany%2C+Edward+John+More,no_lavin_tag,gothic,9
367,1906,368,teamblack | pbgothic | stew | lavin_ghost,The+empty+house,Blackwood%2C+Algernon%2C,lavin_ghost,gothic,12
369,1906,370,teamred | locghost | stew | lavin_ghost,Modern+ghost+stories,Buckingham%2C+Emma+May.,lavin_ghost,gothic,12
390,1910,391,teamred | pbgothic | lavin_ghost,Tales+of+men+and+ghosts,Wharton%2C+Edith%2C,lavin_ghost,gothic,7
403,1911,404,teamred | pbgothic | stew | lavin_ghost,Wandering+ghosts,Crawford%2C+F.+Marion,lavin_ghost,gothic,14
411,1912,412,teamblack | locghost | lavin_ghost,Famous+ghost-stories+by+E,Gowans%2C+Adam+L.,lavin_ghost,gothic,10
419,1913,420,teamred | locghost | lavin_ghost,The+Meadow-Brook+girls+un,Aldridge%2C+Janet.,lavin_ghost,gothic,11
432,1914,433,teamred | locghost | lavin_ghost,True+Irish+ghost+stories,Seymour%2C+St.+John+D.,lavin_ghost,gothic,12
454,1918,455,teamblack | locghost | stew | lavin_ghost,Great+ghost+stories%2C+sele,French%2C+Joseph+Lewis%2C,lavin_ghost,gothic,12
461,1919,462,teamred | pbgothic | lavin_ghost,A+thin+ghost+and+others,James%2C+M.+R.,lavin_ghost,gothic,7
463,1919,464,teamblack | locghost | stew | lavin_ghost,Border+ghost+stories,Pease%2C+Howard%2C,lavin_ghost,gothic,12
466,1919,467,teamred | pbgothic,Jurgen,Cabell%2C+James+Branch%2C,no_lavin_tag,gothic,14
474,1920,475,teamred | locghost | stew | lavin_ghost,The+best+psychic+stories,French%2C+Joseph+Lewis%2C,lavin_ghost,gothic,12
489,1921,490,teamred | locghost | stew | lavin_ghost,Humorous+ghost+stories,AnonymousGhost3,lavin_ghost,gothic,12
490,1921,491,teamred | locghost | lavin_ghost,The+haunters+%26+the+haunte,Rhys%2C+Ernest%2C,lavin_ghost,gothic,12
498,1922,499,teamblack | locghost | stew | lavin_ghost,Ghosts+and+legends+of+Sou,Munford%2C+George+Frederick,lavin_ghost,gothic,12
541,1927,542,teamblack | pbgothic | lavin_magic,The+Case+of+Charles+Dexter+Ward,Lovecraft%2C+H.+P.,lavin_magic,gothic,7
590,1932,591,teamblack | pbgothic,Light+in+August,Faulkner%2C+William,no_lavin_tag,gothic,14
595,1933,596,chifantasy | teamblack | chihorror | stew,The+werewolf+of+Paris,Endore%2C+S.+Guy%2C,no_lavin_tag,gothic,14
600,1934,601,teamblack | pbgothic | stew,Seven+Gothic+Tales,Dinesen%2C+Isak%2C,no_lavin_tag,gothic,14
620,1938,621,teamred | pbgothic | stew,Rebecca,Du+Maurier%2C+Daphne%2C,no_lavin_tag,gothic,10
675,1946,676,teamblack | pbgothic | stew,Titus+Groan,Peake%2C+Mervyn%2C,no_lavin_tag,gothic,13
765,1959,766,teamblack | pbgothic | lavin_slasher,Psycho,Bloch%2C+Robert%2C,lavin_slasher,gothic,15
766,1959,767,teamblack | pbgothic | stew | lavin_ghost,The+Haunting+of+Hill+House,Jackson%2C+Shirley%2C,lavin_ghost,gothic,10
820,1967,821,teamblack | pbgothic | chihorror | stew | lavin_magic,Rosemary%27s+baby,Levin%2C+Ira%2C,lavin_magic,gothic,10
822,1968,823,teamred | pbgothic | chihorror | lavin_magic,Expensive+people,Oates%2C+Joyce+Carol%2C,lavin_magic,gothic,14
823,1968,824,teamred | chihorror | lavin_magic,Dagon,Chappell%2C+Fred%2C,lavin_magic,gothic,13
843,1971,844,teamblack | pbgothic | lavin_magic,The+exorcist,Blatty%2C+William+Peter,lavin_magic,gothic,13
867,1976,868,teamblack | chihorror | stew | lavin_magic,The+fury,Farris%2C+John%2C,lavin_magic,gothic,13
868,1976,869,teamblack | pbgothic | lavin_magic,Interview+with+the+vampir,Rice%2C+Anne,lavin_magic,gothic,15
880,1977,881,teamred | chihorror | lavin_slasher,Suffer+the+children,Saul%2C+John%2C,lavin_slasher,gothic,13
892,1978,893,teamred | pbgothic,The+wolfen,Strieber%2C+Whitley,no_lavin_tag,gothic,14
895,1978,896,teamred | chihorror | stew,The+black+castle,Daniels%2C+Les%2C,no_lavin_tag,gothic,14
897,1978,898,teamred | chihorror | stew | lavin_magic,The+stand,King%2C+Stephen%2C,lavin_magic,gothic,14
911,1980,912,teamred | chihorror,Petals+on+the+wind,Andrews%2C+V.+C.++%28Virginia,no_lavin_tag,gothic,15
919,1981,920,teamblack | pbgothic | stew | lavin_magic,The+hunger,Strieber%2C+Whitley,lavin_magic,gothic,13
925,1982,926,teamblack | chihorror | stew | lavin_slasher | lavin_deranged,My+sweet+Audrina,Andrews%2C+V.+C.++%28Virginia,lavin_multi,gothic,15
959,1987,960,teamred | pbgothic | chihorror | lavin_slasher | lavin_deranged,Misery,King%2C+Stephen%2C,lavin_multi,gothic,13
963,1987,964,teamblack | pbgothic | lavin_ghost,Beloved,Morrison%2C+Toni,lavin_ghost,gothic,15
967,1988,968,chifantasy | teamblack | pbgothic | stew | lavin_magic,Those+who+hunt+the+night,Hambly%2C+Barbara,lavin_magic,gothic,13
975,1989,976,teamblack | chihorror | stew,Moon+dance,Somtow%2C+S.+P%2C,no_lavin_tag,gothic,14
