,text,range,OED ratio,percentile,Epoch mean,standard_deviation,>+1 std of mean value
0,lovecraft_1920s_a,1800-1834,0.28859060402684567,0.8414634146341463,0.2527380560966952,0.03641768154729868,False
2,lovecraft_1920s_a,1835-1869,0.28859060402684567,0.8235294117647058,0.25391319804881085,0.04038382257167895,False
4,lovecraft_1920s_a,1870-1904,0.28859060402684567,0.5755395683453237,0.29146941170078317,0.05669396682920921,False
1,lovecraft_1920s_a,1905-1939,0.28859060402684567,0.603112840466926,0.2988412567357455,0.07509390909479267,False
3,lovecraft_1920s_a,1940-1974,0.28859060402684567,0.4808510638297872,0.29703493800256753,0.05888796068853668,False
5,lovecraft_1920s_b,1800-1834,0.2417910447761194,0.4878048780487805,0.2527380560966952,0.03641768154729868,False
7,lovecraft_1920s_b,1835-1869,0.2417910447761194,0.4823529411764706,0.25391319804881085,0.04038382257167895,False
9,lovecraft_1920s_b,1870-1904,0.2417910447761194,0.16546762589928057,0.29146941170078317,0.05669396682920921,False
6,lovecraft_1920s_b,1905-1939,0.2417910447761194,0.13618677042801555,0.2988412567357455,0.07509390909479267,False
8,lovecraft_1920s_b,1940-1974,0.2417910447761194,0.13617021276595745,0.29703493800256753,0.05888796068853668,False
10,lovecraft_1920s_c,1800-1834,0.2544206914753233,0.5609756097560976,0.2527380560966952,0.03641768154729868,False
12,lovecraft_1920s_c,1835-1869,0.2544206914753233,0.5647058823529412,0.25391319804881085,0.04038382257167895,False
14,lovecraft_1920s_c,1870-1904,0.2544206914753233,0.2589928057553957,0.29146941170078317,0.05669396682920921,False
11,lovecraft_1920s_c,1905-1939,0.2544206914753233,0.23735408560311283,0.2988412567357455,0.07509390909479267,False
13,lovecraft_1920s_c,1940-1974,0.2544206914753233,0.20851063829787234,0.29703493800256753,0.05888796068853668,False
15,lovecraft_early,1800-1834,0.27227059611520427,0.6951219512195121,0.2527380560966952,0.03641768154729868,False
17,lovecraft_early,1835-1869,0.27227059611520427,0.7529411764705882,0.25391319804881085,0.04038382257167895,False
19,lovecraft_early,1870-1904,0.27227059611520427,0.460431654676259,0.29146941170078317,0.05669396682920921,False
16,lovecraft_early,1905-1939,0.27227059611520427,0.4280155642023346,0.2988412567357455,0.07509390909479267,False
18,lovecraft_early,1940-1974,0.27227059611520427,0.3659574468085106,0.29703493800256753,0.05888796068853668,False
20,lovecraft_innsmouth,1800-1834,0.3005595523581135,0.9024390243902439,0.2527380560966952,0.03641768154729868,True
22,lovecraft_innsmouth,1835-1869,0.3005595523581135,0.8588235294117647,0.25391319804881085,0.04038382257167895,True
24,lovecraft_innsmouth,1870-1904,0.3005595523581135,0.6618705035971223,0.29146941170078317,0.05669396682920921,False
21,lovecraft_innsmouth,1905-1939,0.3005595523581135,0.6653696498054474,0.2988412567357455,0.07509390909479267,False
23,lovecraft_innsmouth,1940-1974,0.3005595523581135,0.6042553191489362,0.29703493800256753,0.05888796068853668,False
25,lovecraft_late,1800-1834,0.2579539892315223,0.5609756097560976,0.2527380560966952,0.03641768154729868,False
27,lovecraft_late,1835-1869,0.2579539892315223,0.6,0.25391319804881085,0.04038382257167895,False
29,lovecraft_late,1870-1904,0.2579539892315223,0.2949640287769784,0.29146941170078317,0.05669396682920921,False
26,lovecraft_late,1905-1939,0.2579539892315223,0.2723735408560311,0.2988412567357455,0.07509390909479267,False
28,lovecraft_late,1940-1974,0.2579539892315223,0.225531914893617,0.29703493800256753,0.05888796068853668,False
30,lovecraft_mountains,1800-1834,0.22569239835002947,0.2804878048780488,0.2527380560966952,0.03641768154729868,False
32,lovecraft_mountains,1835-1869,0.22569239835002947,0.24705882352941178,0.25391319804881085,0.04038382257167895,False
34,lovecraft_mountains,1870-1904,0.22569239835002947,0.05755395683453238,0.29146941170078317,0.05669396682920921,True
31,lovecraft_mountains,1905-1939,0.22569239835002947,0.05058365758754864,0.2988412567357455,0.07509390909479267,False
33,lovecraft_mountains,1940-1974,0.22569239835002947,0.05106382978723404,0.29703493800256753,0.05888796068853668,True
35,lovecraft_reanimator,1800-1834,0.27129909365558913,0.6951219512195121,0.2527380560966952,0.03641768154729868,False
37,lovecraft_reanimator,1835-1869,0.27129909365558913,0.7411764705882353,0.25391319804881085,0.04038382257167895,False
39,lovecraft_reanimator,1870-1904,0.27129909365558913,0.4316546762589928,0.29146941170078317,0.05669396682920921,False
36,lovecraft_reanimator,1905-1939,0.27129909365558913,0.42023346303501946,0.2988412567357455,0.07509390909479267,False
38,lovecraft_reanimator,1940-1974,0.27129909365558913,0.34893617021276596,0.29703493800256753,0.05888796068853668,False
40,lovecraft_shadow,1800-1834,0.25158227848101267,0.5487804878048781,0.2527380560966952,0.03641768154729868,False
42,lovecraft_shadow,1835-1869,0.25158227848101267,0.5411764705882353,0.25391319804881085,0.04038382257167895,False
44,lovecraft_shadow,1870-1904,0.25158227848101267,0.2446043165467626,0.29146941170078317,0.05669396682920921,False
41,lovecraft_shadow,1905-1939,0.25158227848101267,0.20233463035019456,0.2988412567357455,0.07509390909479267,False
43,lovecraft_shadow,1940-1974,0.25158227848101267,0.19574468085106383,0.29703493800256753,0.05888796068853668,False
45,lovecraft_ward,1800-1834,0.23372491434165443,0.3780487804878049,0.2527380560966952,0.03641768154729868,False
47,lovecraft_ward,1835-1869,0.23372491434165443,0.3764705882352941,0.25391319804881085,0.04038382257167895,False
49,lovecraft_ward,1870-1904,0.23372491434165443,0.09352517985611511,0.29146941170078317,0.05669396682920921,True
46,lovecraft_ward,1905-1939,0.23372491434165443,0.0933852140077821,0.2988412567357455,0.07509390909479267,False
48,lovecraft_ward,1940-1974,0.23372491434165443,0.08936170212765958,0.29703493800256753,0.05888796068853668,True
50,lovecraft_whisperer,1800-1834,0.2650316455696203,0.5975609756097561,0.2527380560966952,0.03641768154729868,False
52,lovecraft_whisperer,1835-1869,0.2650316455696203,0.7058823529411765,0.25391319804881085,0.04038382257167895,False
54,lovecraft_whisperer,1870-1904,0.2650316455696203,0.35251798561151076,0.29146941170078317,0.05669396682920921,False
51,lovecraft_whisperer,1905-1939,0.2650316455696203,0.35019455252918286,0.2988412567357455,0.07509390909479267,False
53,lovecraft_whisperer,1940-1974,0.2650316455696203,0.28936170212765955,0.29703493800256753,0.05888796068853668,False
